Reference	Genotype	Phenotype
AAD51059	vancomycin__vanD	vancomycin
AAD51060	vancomycin__vanD	vancomycin
AAD51061	vancomycin__vanD	vancomycin
AAD51344	multidrug__mexE	multidrug
AAD51345	multidrug__smeB	multidrug
AAD51346	multidrug__smeC	multidrug
AAF14523	multidrug__multidrug_transporter	multidrug
AAF17263	beta-lactam__PBP-2X	beta-lactam
AAF17264	beta-lactam__PBP-2X	beta-lactam
AAF17266	beta-lactam__PBP-2X	beta-lactam
AAF17267	beta-lactam__PBP-2X	beta-lactam
AAF17268	beta-lactam__PBP-2X	beta-lactam
AAF17269	beta-lactam__PBP-2X	beta-lactam
AAF17270	beta-lactam__PBP-2X	beta-lactam
AAF24091	macrolide-lincosamide-streptogramin__vgaA	macrolide-lincosamide-streptogramin
AAF24171	macrolide-lincosamide-streptogramin__vatE	macrolide-lincosamide-streptogramin
AAF27723	beta-lactam__GES-1	beta-lactam
AAF27725	trimethoprim__dfrA15	trimethoprim
AAF71278	vancomycin__vanS	vancomycin
AAF71279	vancomycin__vanG	vancomycin
AAF71281	vancomycin__vanG	vancomycin
AAF72358	vancomycin__vanR	vancomycin
AAF72359	vancomycin__vanS	vancomycin
AAF72361	vancomycin__vanW	vancomycin
AAF72362	vancomycin__vanH	vancomycin
AAF72363	vancomycin__vanB	vancomycin
AAF72364	vancomycin__vanX	vancomycin
AAF72530	beta-lactam__CTX-M-14	beta-lactam
AAF86692	beta-lactam__ampC	beta-lactam
AAG05407	multidrug__mexX	multidrug
AAG07763	multidrug__mexW	multidrug
AAG08983	macrolide-lincosamide-streptogramin__vgaA	macrolide-lincosamide-streptogramin
AAG13410	beta-lactam__KPC-1	beta-lactam
AAG14406	macrolide-lincosamide-streptogramin__mphA	macrolide-lincosamide-streptogramin
AAG21695	macrolide-lincosamide-streptogramin__vatE	macrolide-lincosamide-streptogramin
AAG34685	vancomycin__vanB	vancomycin
AAG34691	vancomycin__vanB	vancomycin
AAG45714	aminoglycoside__aac(6)-I	aminoglycoside
AAK08976	beta-lactam__class A beta-lactamase	beta-lactam
AAK12088	aminoglycoside__aac(3)-I	aminoglycoside
AAK14791	beta-lactam__NPS-1	beta-lactam
AAK15701	beta-lactam__SRT-2	beta-lactam
AAK17952	tetracycline__tetM	tetracycline
AAK28907	macrolide-lincosamide-streptogramin__ermX	macrolide-lincosamide-streptogramin
AAK32688	beta-lactam__CMY-78	beta-lactam
AAK38457	multidrug__qacB	multidrug
AAK49460	beta-lactam__OXA-35	beta-lactam
AAK51920	aminoglycoside__aac(6)-I	aminoglycoside
AAK53751	beta-lactam__class A beta-lactamase	beta-lactam
AAK53979	vancomycin__vanY	vancomycin
AAK53982	vancomycin__vanS	vancomycin
AAK58490	vancomycin__vanY	vancomycin
AAK58492	vancomycin__vanR	vancomycin
AAK58493	vancomycin__vanS	vancomycin
AAK62562	aminoglycoside__aph(3)-III	aminoglycoside
AAK63223	beta-lactam__class A beta-lactamase	beta-lactam
AAK64454	beta-lactam__ampC	beta-lactam
AAK69027	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
AAK69613	macrolide-lincosamide-streptogramin__ereA	macrolide-lincosamide-streptogramin
AAK91782	macrolide-lincosamide-streptogramin__vatE	macrolide-lincosamide-streptogramin
AAL05554	macrolide-lincosamide-streptogramin__lnuB	macrolide-lincosamide-streptogramin
AAL05857	beta-lactam__ampC	beta-lactam
AAL09826	tetracycline__tetW	tetracycline
AAL12234	fusaric-acid__fusB	fusaric-acid
AAL14439	multidrug__adeA	multidrug
AAL14440	multidrug__adeB	multidrug
AAL14441	multidrug__adeC	multidrug
AAL30847	tetracycline__tetW	tetracycline
AAL40899	beta-lactam__SHV-1	beta-lactam
AAL51021	aminoglycoside__ant(3)-Ih-aac(6)-IId	aminoglycoside
AAL57765	beta-lactam__class A beta-lactamase	beta-lactam
AAL73823	rifamycin__rifampin resistance protein	rifamycin
AAL75564	tetracycline__tetD	tetracycline
AAL77081	beta-lactam__PBP-2X	beta-lactam
AAL91930	macrolide-lincosamide-streptogramin__ermB	macrolide-lincosamide-streptogramin
AAL92527	tetracycline__tetL	tetracycline
AAM11664	beta-lactam__ampC	beta-lactam
AAM11666	beta-lactam__ampC	beta-lactam
AAM11668	beta-lactam__ampC	beta-lactam
AAM11670	beta-lactam__class C beta-lactamase	beta-lactam
AAM13572	rifamycin__rifampin resistance protein	rifamycin
AAM46773	beta-lactam__ampC	beta-lactam
AAM48116	beta-lactam__CfxA2	beta-lactam
AAM48117	beta-lactam__CfxA2	beta-lactam
AAM48121	beta-lactam__CfxA2	beta-lactam
AAM48122	beta-lactam__CfxA2	beta-lactam
AAM48124	beta-lactam__CfxA2	beta-lactam
AAM48125	beta-lactam__CfxA2	beta-lactam
AAM63403	beta-lactam__class B beta-lactamase	beta-lactam
AAM77886	vancomycin__vanA	vancomycin
AAM89276	trimethoprim__dfrB3	trimethoprim
AAM93063	beta-lactam__metallo-beta-lactamase	beta-lactam
AAM93473	beta-lactam__ampC	beta-lactam
AAM97249	beta-lactam__penA	beta-lactam
AAN28721	tetracycline__tet37	tetracycline
AAN34370	aminoglycoside__aac(3)-II	aminoglycoside
AAN41408	trimethoprim__dfrA5	trimethoprim
AAN41433	trimethoprim__dfrB1	trimethoprim
AAN41440	aminoglycoside__aac(3)-I	aminoglycoside
AAN41648	trimethoprim__dfrA1	trimethoprim
AAN60573	vancomycin__vanB	vancomycin
AAN61107	beta-lactam__penA	beta-lactam
AAN73274	beta-lactam__KLUG-1	beta-lactam
AAN80811	multidrug__emrE	multidrug
AAO24820	tetracycline__tetM	tetracycline
AAO38251	macrolide-lincosamide-streptogramin__ereA	macrolide-lincosamide-streptogramin
AAO38916	tetracycline__tetM	tetracycline
AAO42740	tetracycline__tetW	tetracycline
AAO84013	beta-lactam__OXA-47	beta-lactam
AAP43530	multidrug__mdtM	multidrug
AAP46576	beta-lactam__penA	beta-lactam
AAP46577	beta-lactam__penA	beta-lactam
AAP46578	beta-lactam__penA	beta-lactam
AAP46581	beta-lactam__penA	beta-lactam
AAP46583	beta-lactam__penA	beta-lactam
AAP46584	beta-lactam__penA	beta-lactam
AAP46585	beta-lactam__penA	beta-lactam
AAP46588	beta-lactam__penA	beta-lactam
AAP46590	beta-lactam__penA	beta-lactam
AAP46591	beta-lactam__penA	beta-lactam
AAP46594	beta-lactam__penA	beta-lactam
AAP46595	beta-lactam__penA	beta-lactam
AAP46597	beta-lactam__penA	beta-lactam
AAP46598	beta-lactam__penA	beta-lactam
AAP46600	beta-lactam__penA	beta-lactam
AAP46601	beta-lactam__penA	beta-lactam
AAP46602	beta-lactam__penA	beta-lactam
AAP46604	beta-lactam__penA	beta-lactam
AAP46605	beta-lactam__penA	beta-lactam
AAP46606	beta-lactam__penA	beta-lactam
AAP46607	beta-lactam__penA	beta-lactam
AAP46608	beta-lactam__penA	beta-lactam
AAP46609	beta-lactam__penA	beta-lactam
AAP46610	beta-lactam__penA	beta-lactam
AAP46611	beta-lactam__penA	beta-lactam
AAP46613	beta-lactam__penA	beta-lactam
AAP46614	beta-lactam__penA	beta-lactam
AAP46617	beta-lactam__penA	beta-lactam
AAP46619	beta-lactam__penA	beta-lactam
AAP46620	beta-lactam__penA	beta-lactam
AAP46621	beta-lactam__penA	beta-lactam
AAP46622	beta-lactam__penA	beta-lactam
AAP46624	beta-lactam__penA	beta-lactam
AAP46632	beta-lactam__penA	beta-lactam
AAP46635	beta-lactam__penA	beta-lactam
AAP69912	beta-lactam__class B beta-lactamase	beta-lactam
AAP69913	beta-lactam__class B beta-lactamase	beta-lactam
AAP69914	beta-lactam__class B beta-lactamase	beta-lactam
AAP69915	beta-lactam__class B beta-lactamase	beta-lactam
AAP70377	beta-lactam__class B beta-lactamase	beta-lactam
AAP83161	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
AAP92507	aminoglycoside__viomycin phosphotransferase	aminoglycoside
AAP97129	beta-lactam__class B beta-lactamase	beta-lactam
AAP97131	beta-lactam__class B beta-lactamase	beta-lactam
AAP97133	beta-lactam__class B beta-lactamase	beta-lactam
AAQ10697	multidrug__qacB	multidrug
AAQ12895	vancomycin__vanB	vancomycin
AAQ12900	vancomycin__vanR	vancomycin
AAQ16270	vancomycin__vanG	vancomycin
AAQ16271	vancomycin__vanW	vancomycin
AAQ21216	multidrug__acrB	multidrug
AAQ62546	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
AAQ75378	beta-lactam__OXY-2	beta-lactam
AAQ90024	beta-lactam__class C beta-lactamase	beta-lactam
AAQ92181	multidrug__multidrug_transporter	multidrug
AAR04097	beta-lactam__metallo-beta-lactamase	beta-lactam
AAR04099	beta-lactam__metallo-beta-lactamase	beta-lactam
AAR05437	beta-lactam__CTX-M-32	beta-lactam
AAR05762	macrolide-lincosamide-streptogramin__mphA	macrolide-lincosamide-streptogramin
AAR14158	tetracycline__tetH	tetracycline
AAR20596	beta-lactam__class A beta-lactamase	beta-lactam
AAR29485	tetracycline__tetO	tetracycline
AAR29970	tetracycline__tetM	tetracycline
AAR29971	tetracycline__tetM	tetracycline
AAR37056	vancomycin__vanR	vancomycin
AAR37057	vancomycin__vanS	vancomycin
AAR37059	vancomycin__vanH	vancomycin
AAR37060	vancomycin__vanD	vancomycin
AAR37061	vancomycin__vanX	vancomycin
AAR96043	tetracycline__tetC	tetracycline
AAS16362	chloramphenicol__chloramphenicol exporter	chloramphenicol
AAS16363	chloramphenicol__chloramphenicol exporter	chloramphenicol
AAS20534	beta-lactam__OXA-2	beta-lactam
AAS45561	tetracycline__tetM	tetracycline
AAS49820	rifamycin__rifampin resistance protein	rifamycin
AAS50177	macrolide-lincosamide-streptogramin__lnuA	macrolide-lincosamide-streptogramin
AAS61063	multidrug__acrB	multidrug
AAS61092	fosmidomycin__rosB	fosmidomycin
AAS87172	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
AAS89471	chloramphenicol__catB	chloramphenicol
AAS92348	beta-lactam__OXA-10	beta-lactam
AAT02170	tetracycline__tetS	tetracycline
AAT34976	aminoglycoside__streptomycin resistance protein	aminoglycoside
AAT35601	beta-lactam__CTX-M	beta-lactam
AAT45018	beta-lactam__KLUY-4	beta-lactam
AAT45022	beta-lactam__KLUY-3	beta-lactam
AAT45026	beta-lactam__KLUY-2	beta-lactam
AAT45231	trimethoprim__dfrA12	trimethoprim
AAT49071	trimethoprim__dfrB2	trimethoprim
AAT60435	beta-lactam__class A beta-lactamase	beta-lactam
AAT70791	aminoglycoside__aac(6)-I	aminoglycoside
AAT90846	beta-lactam__class B beta-lactamase	beta-lactam
AAT90847	beta-lactam__class B beta-lactamase	beta-lactam
AAT97115	beta-lactam__SHV-5	beta-lactam
AAU01314	rifamycin__rifampin resistance protein	rifamycin
AAU89126	aminoglycoside__ant(3)-Ih-aac(6)-IId	aminoglycoside
AAV37206	beta-lactam__CfxA2	beta-lactam
AAV58812	vancomycin__vanS	vancomycin
AAV58814	vancomycin__vanW	vancomycin
AAV58816	vancomycin__vanB	vancomycin
AAV58817	vancomycin__vanX	vancomycin
AAV74562	vancomycin__vanB	vancomycin
AAV74563	vancomycin__vanB	vancomycin
AAV74568	vancomycin__vanB	vancomycin
AAV74569	vancomycin__vanB	vancomycin
AAV74570	vancomycin__vanB	vancomycin
AAV80410	tetracycline__tetT	tetracycline
AAV80411	tetracycline__tetO	tetracycline
AAW21254	trimethoprim__dfrA12	trimethoprim
AAW30456	macrolide-lincosamide-streptogramin__lsa	macrolide-lincosamide-streptogramin
AAW34142	tetracycline__tetO	tetracycline
AAW82909	beta-lactam__class C beta-lactamase	beta-lactam
AAX14397	beta-lactam__mecA	beta-lactam
AAX18273	trimethoprim__dfrA16	trimethoprim
AAX19282	vancomycin__vanS	vancomycin
AAX19283	vancomycin__vanA	vancomycin
AAX19284	vancomycin__vanA	vancomycin
AAX19285	vancomycin__vanX	vancomycin
AAX33294	beta-lactam__SHV-5	beta-lactam
AAX35723	beta-lactam__mecA	beta-lactam
AAX54909	aminoglycoside__aad(9)	aminoglycoside
AAX55643	beta-lactam__class A beta-lactamase	beta-lactam
AAX84025	macrolide-lincosamide-streptogramin__ermT	macrolide-lincosamide-streptogramin
AAY21388	multidrug__multidrug_transporter	multidrug
AAY27811	beta-lactam__CTX-M-15	beta-lactam
AAY43141	trimethoprim__dfrA17	trimethoprim
AAY43143	trimethoprim__dfrA1	trimethoprim
AAY43207	beta-lactam__GES-9	beta-lactam
AAY52002	vancomycin__vanR	vancomycin
AAY52003	vancomycin__vanS	vancomycin
AAY52004	vancomycin__vanH	vancomycin
AAY52005	vancomycin__vanA	vancomycin
AAY52006	vancomycin__vanX	vancomycin
AAY52007	vancomycin__vanY	vancomycin
AAY54279	tetracycline__tetO	tetracycline
AAY62597	tetracycline__tetW	tetracycline
AAY63943	tetracycline__tetM	tetracycline
AAY67968	vancomycin__vanC	vancomycin
AAY67970	vancomycin__vanT	vancomycin
AAY67972	vancomycin__vanS	vancomycin
AAY68306	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
AAY90134	beta-lactam__class C beta-lactamase	beta-lactam
AAY93315	beta-lactam__class C beta-lactamase	beta-lactam
AAZ03413	beta-lactam__ampC	beta-lactam
AAZ14842	macrolide-lincosamide-streptogramin__ereA	macrolide-lincosamide-streptogramin
AAZ32816	macrolide-lincosamide-streptogramin__msrA	macrolide-lincosamide-streptogramin
AAZ79402	beta-lactam__OKP-B	beta-lactam
AAZ79478	tetracycline__tetQ	tetracycline
AAZ85968	beta-lactam__class C beta-lactamase	beta-lactam
AAZ91706	macrolide-lincosamide-streptogramin__ereA	macrolide-lincosamide-streptogramin
AAZ93366	beta-lactam__CMY-2	beta-lactam
AAZ98835	vancomycin__vanR	vancomycin
AAZ98836	vancomycin__vanS	vancomycin
AAZ98839	vancomycin__vanD	vancomycin
AAZ98840	vancomycin__vanX	vancomycin
AB008454.1.gene1.p01	beta-lactam__SRT-1	beta-lactam
AB010417.1.gene1.p01	beta-lactam__IMP	beta-lactam
AB023477.1.gene1.p01	beta-lactam__SHV-24	beta-lactam
AB028210.1.gene2.p01	aminoglycoside__aac(3)-X	aminoglycoside
AB040994.1.gene1.p1	beta-lactam__IMP-6	beta-lactam
AB049569.1.gene1.p01	beta-lactam__TEM-91	beta-lactam
AB061794.1.gene2.p01	aminoglycoside__aac(6)-I	aminoglycoside
AB061794.1.gene7.p01	beta-lactam__CMY-9	beta-lactam
AB074433.1.gene1.p01	beta-lactam__IMP-10	beta-lactam
AB074436.1.gene1.p01	beta-lactam__IMP-11	beta-lactam
AB080798.1.gene5.p01	chloramphenicol__cat_chloramphenicol acetyltransferase	chloramphenicol
AB082569.2.gene1.p01	chloramphenicol__catA	chloramphenicol
AB083212.gene.p01	aminoglycoside__rmtA	aminoglycoside
AB084246.gene.p01	tetracycline__tetA	tetracycline
AB0890	multidrug__TolC	multidrug
AB104852.1.gene2.p01	beta-lactam__IMP-1	beta-lactam
AB104852.1.gene3.p01	aminoglycoside__aac(6)-I	aminoglycoside
AB104852.1.gene4.p01	aminoglycoside__aadA	aminoglycoside
AB104852.1.gene6.p01	sulfonamide__sul1	sulfonamide
AB107899.1.gene2.p01	beta-lactam__CFE-1	beta-lactam
AB114632.1.gene2.p01	aminoglycoside__aadA	aminoglycoside
AB116646.1.gene1.p01	aminoglycoside__aac(6)-I	aminoglycoside
AB119105.1.gene1.p01	aminoglycoside__aac(6)-I	aminoglycoside
AB158573.gene.p01	unclassified__rpsD_(ramA_or_sud2)	unclassified
AB164230.1.gene1.p01	aminoglycoside__aac(6)-I	aminoglycoside
AB176534.1.gene1.p01	beta-lactam__CTX-M-35	beta-lactam
AB177384.1.gene1.p01	beta-lactam__CTX-M-36	beta-lactam
AB194410.1.gene1.p01	beta-lactam__CMY-19	beta-lactam
AB196988.1.gene1.p01	beta-lactam__IMP-20	beta-lactam
AB204557.1.gene1.p01	beta-lactam__IMP-21	beta-lactam
AB205197.1.gene1.p01	beta-lactam__CTX-M-63	beta-lactam
AB261016.1.gene1.p01	unclassified__16S rRNA methylase	unclassified
AB280919.1.gene1.p01	beta-lactam__CMY-37	beta-lactam
AB284167.2.gene1.p01	beta-lactam__CTX-M	beta-lactam
AB300358.1.gene1.p01	beta-lactam__CMY-26	beta-lactam
AB302939.1.gene1.p01	beta-lactam__SHV-60	beta-lactam
AB364006.1.gene1.p01	beta-lactam__KHM-1	beta-lactam
AB372224.1.gene1.p01	beta-lactam__CMY-39	beta-lactam
AB429270.1.gene1.p01	beta-lactam__CMY-41	beta-lactam
AB462903.1.gene2.p01	aminoglycoside__aac(6)-I	aminoglycoside
AB529520.1.gene1.p01	beta-lactam__IND-7	beta-lactam
AB551737.1.gene1.p01	beta-lactam__SHV-133	beta-lactam
AB563173.1.gene1.p01	beta-lactam__IND-15	beta-lactam
AB587082.1.gene1.p01	beta-lactam__CMY-2	beta-lactam
AB634250.1.gene1.p01	beta-lactam__OXA-206	beta-lactam
AB636283.1.gene1.p01	beta-lactam__SMB-1	beta-lactam
AB699171.1.gene1.p01	beta-lactam__CMY-87	beta-lactam
AB700703.1.gene1.p01	beta-lactam__TEM-198	beta-lactam
AB703103.1.gene1.p01	beta-lactam__CTX-M-126	beta-lactam
AB715422.1.gene3.p01	aminoglycoside__aac(6)-I	aminoglycoside
AB715422.1.gene4.p01	beta-lactam__IMP	beta-lactam
AB733453.1.gene1.p01	beta-lactam__SHV-167	beta-lactam
AB737978.1.gene1.p01	beta-lactam__ACT-16	beta-lactam
AB744718.1.gene1.p01	beta-lactam__NDM-8	beta-lactam
AB753456.1.gene1.p01	beta-lactam__IMP-42	beta-lactam
AB753457.1.gene1.p01	beta-lactam__IMP-40	beta-lactam
AB753458.1.gene1.p01	beta-lactam__IMP-41	beta-lactam
AB777500.1.gene4.p01	beta-lactam__IMP-43	beta-lactam
AB777500.1.gene5.p01	beta-lactam__OXA-2	beta-lactam
AB777501.1.gene2.p01	beta-lactam__IMP-44	beta-lactam
AB781687.1.gene1.p01	beta-lactam__OXA-254	beta-lactam
AB900900.1.gene1.p01	beta-lactam__CTX-M-137	beta-lactam
ABA02367	macrolide-lincosamide-streptogramin__msrA	macrolide-lincosamide-streptogramin
ABA08387	trimethoprim__dfrA1	trimethoprim
ABA54978	beta-lactam__OXA-9	beta-lactam
ABA71359	tetracycline__tetB	tetracycline
ABB18304	tetracycline__tetM	tetracycline
ABB43029	aminoglycoside__aac(3)-IV	aminoglycoside
ABB53349	vancomycin__vanR	vancomycin
ABB70047	tetracycline__tetM	tetracycline
ABB70049	tetracycline__tetM	tetracycline
ABB70053	tetracycline__tetM	tetracycline
ABB70054	tetracycline__tetM	tetracycline
ABB70056	tetracycline__tetM	tetracycline
ABB71176	trimethoprim__dfrA25	trimethoprim
ABB72057	trimethoprim__dfrB6	trimethoprim
ABB76658	trimethoprim__dfrA1	trimethoprim
ABB77558	trimethoprim__dfrA14	trimethoprim
ABB80128	bacitracin__bcrA	bacitracin
ABB80130	bacitracin__bcrC	bacitracin
ABB82608	beta-lactam__class A beta-lactamase	beta-lactam
ABB89122	trimethoprim__dfrA5	trimethoprim
ABB99435	beta-lactam__OXA-1	beta-lactam
ABC17628	quinolone__qnrB	quinolone
ABC17629	quinolone__qnrB	quinolone
ABC18245	tetracycline__tetW	tetracycline
ABC18328	beta-lactam__CTX-M-54	beta-lactam
ABC33904	beta-lactam__class C beta-lactamase	beta-lactam
ABC36050	multidrug__ceoB	multidrug
ABC38311	multidrug__amrB	multidrug
ABC38359	multidrug__mexX	multidrug
ABC54722	aminoglycoside__aac(6)-I	aminoglycoside
ABC60093	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
ABC60094	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
ABC69169	chloramphenicol__catB	chloramphenicol
ABD04054	chloramphenicol__catB	chloramphenicol
ABD46539	tetracycline__tetM	tetracycline
ABD46710	trimethoprim__dfrA14	trimethoprim
ABD85195	beta-lactam__IMP	beta-lactam
ABE02098	macrolide-lincosamide-streptogramin__mefA	macrolide-lincosamide-streptogramin
ABE98197	quinolone__qnrS	quinolone
ABF20240	chloramphenicol__catB	chloramphenicol
ABF67771	aminoglycoside__aadA	aminoglycoside
ABF69686	tetracycline__tetW	tetracycline
ABG21123	tetracycline__tetM	tetracycline
ABG26481	macrolide-lincosamide-streptogramin__ermX	macrolide-lincosamide-streptogramin
ABG36698	trimethoprim__dfrA15	trimethoprim
ABG36700	sulfonamide__sul1	sulfonamide
ABG36701	chloramphenicol__chloramphenicol exporter	chloramphenicol
ABG46350	trimethoprim__dfrA1	trimethoprim
ABG56269	quinolone__qnrB	quinolone
ABG69871	multidrug__emrE	multidrug
ABG71110	multidrug__TolC	multidrug
ABG71850	multidrug__emrD	multidrug
ABG77519	aminoglycoside__aac(6)-I	aminoglycoside
ABG77965	multidrug__acrA	multidrug
ABG77966	multidrug__acrB	multidrug
ABG81258	tetracycline__tetW	tetracycline
